"nome","telefone"
"MP Beauty Studio","5511983659374"
"Studio RK Concept - Salão de Beleza e Estética","5511989587774"
"Studio de beleza Kauany Russo","5511978800756"
"Studio Kelly Beauty - Extensão de Cílios fio a fio - Sobrancelhas - Cursos - Penha de França-SP","5511987583905"
"Studio Melonia Beleza Feminina","5511994154475"
"Bethânia Cabeleireira","5511966892803"
"Salão Esperança","551126464035"
"Fvr Studio - Salão de beleza - Penha","5511996841007"
"Lumê Cabelo e Estética","5511972403821"
"Espaço Mulher Leda Costa - Centro de Beleza Estética","5511986430001"
"Clínica de Beleza - Studio 31","5511985883168"
"CABELEIREIRO, EDU CORTE.ID Ref. Em frente ao Shopping Penha","5511977209049"
"Styllo arte","551126477341"
"Studio Marchionni","551127915889"
"Carrie Espaço da Beleza","551126466187"
"Espaço BG Beauty","5511994004655"
"TURQUESA ESMALTERIA & BELEZA-SHOPPING PENHA","5511943171115"
"Delise's Hair","551129410611"
"STUDIO C cabelo e estética","5511973738372"
"Franco's Cabeleireiros","551129417183"
"Studio Camila Holetz - Extenção de Cílios na Penha","5511961107553"
"Conceito e Beleza","551120972888"
"Mendesian beauty Studio","5511949020672"
"M.Brasil Studio de Beleza","551126421266"
"bg Centro di Bellezza","5511961496775"
"Salão W Graciano","5511977498341"
"D'Marthani Hair Visage","5511967027972"
"Estúdio de Estilos","551120820548"
"Studio Natani's","5511975733023"
"Beauty Cabeleireiros Unissex","551126418461"
"Espaço Maria Bonita","5511999748683"
"Novo Stylos Salão de Beleza Visagista Terapeuta Capilar Tricologista e Estéticas na Penha","551126816141"
"Val Cabeleireiros","5511975135882"
"Pato Hair Concept | Salão de Beleza no Jardim Popular - Penha","5511983571059"
"Neide Cabeleireiro","551129585863"
"Salão de Cabeleireiro Cléo Subacius","5511968344468"
"Ana Oitaven Studio Coiffure","5511940202328"
"Charme e Beleza","551120821781"
"Cabeleireiros Guaiaúna","551122966275"
"Snoopy Cabeleireiros","551122960123"
"Espaço Vânia - Estética & Beleza","5511982106073"
"Mg Marinho Cabeleireiros","551129410142"
"Salão de Beleza da Rosangela","5511995060214"
"Estética e Beleza Gabriela - Penha, Zona Leste","5511961781472"
"Fabí Estetic Estetica na Penha-ZL Drenagem, Limpeza de Pele, Modeladora, Bronze Artificial, Massagem Terapeutica,","5511952016543"
"Ilma Nascimento Cantinho da Beleza Hair","5511970247796"
"Espaço Essencial Saúde","551123728925"
"JW Studio","551120926114"
"Stela Loiane Studio - Extensão de Cílios fio a fio-Sobrancelhas - Penha de França-SP","5511948715365"
"Studio Iara Amaral- Extensão de Cílios fio a fio- Sobrancelhas- Penha de França- SP","5511981196591"
"Clarice Marques E Equipe Salão","551128433696"
"Studio Royal Princess","5511978888145"
"Studio Kawany Rodrigues","5511970433182"
"Espaço Rosa's Conceito em Beleza","5511958082883"
"Nathalia Passarelli Estética","5511984835798"
"Studio MR Salão de Beleza no Danfer","5511946102300"
"Espaço Venus beleza","5511999593981"
"Studio M&V","5511953379972"
"Renata Santos (@resantosmakeup)","5511972087196"
"SALÃO DE BELEZA TOP NILS","5511991485413"
"Cantinho das Dondokas","551126795179"
"Studio Ines Farias","5511986206884"
"Misma Lopes Cabeleireiros","5511959523227"
"Sl Beleza Estética","551122890106"
"Spa Urbano Massoterapia-Micropuntura- Estética e Saúde","5511966485563"
"Mãos da Vane","5511948149922"
"Keila Fernandes Salão de Beleza","5511980637843"
"Studio Da Mata","5511959107405"
"Rose Avanzo Studio","5511988989524"
"Iracema Maquiagem Definitiva na região da PENHA - São Paulo","5511991200278"
"Sobrancelhando - Embelezamento Facial","5511966474730"
"Vera Cabeleireira","551126470210"
"Noemi Estética","5511991163833"
"Marcela Siqueira - Maquiagem, Tranças e Penteados Profissionais em Tatuapé","5511913144743"
"Cataline Silva Studio","5511951094528"
"Espaço Shamah - Soraia Manzano","5511982446427"
"Teruya","551126473209"
"Layane Ferreira | Cílios e Sobrancelhas - Penha de França","5511954194839"
"Assis Cabeleireiros","551120978832"
"Reviver - Clínica de Estética","5511995279103"
"Magia Cabeleireiros","5511977437886"
"Magia Cabeleireiros","5511977437886"
